127 100
0.46 0.149438 0.851288
0.47 0.149438 0.8483
0.48 0.149438 0.845311
0.49 0.149438 0.842322
0.5 0.149438 0.839333
0.51 0.149438 0.836345
0.52 0.149438 0.833356
0.53 0.149438 0.830367
0.54 0.149438 0.827378
0.55 0.149438 0.82439
0.56 0.149438 0.821401
0.57 0.149438 0.818412
0.58 0.149438 0.815423
0.59 0.149438 0.812434
0.6 0.149438 0.809446
0.61 0.149438 0.806457
0.62 0.149438 0.803468
0.63 0.149438 0.800479
0.64 0.149438 0.797491
0.65 0.149438 0.794502
0.66 0.149438 0.791513
0.67 0.149438 0.788524
0.68 0.149438 0.785536
0.69 0.149438 0.782547
0.7 0.149438 0.779558
0.71 0.149438 0.776569
0.72 0.149438 0.773581
0.73 0.149438 0.770592
0.74 0.149438 0.767603
0.75 0.149438 0.764614
0.76 0.149438 0.761626
0.77 0.149438 0.758637
0.78 0.149438 0.755648
0.79 0.149438 0.752659
0.8 0.149438 0.749671
0.81 0.149438 0.746682
0.82 0.149438 0.743693
0.83 0.149438 0.740704
0.839999 0.149438 0.737716
0.849999 0.149438 0.734727
0.859999 0.149438 0.731738
0.869999 0.149438 0.728749
0.879999 0.149438 0.725761
0.889999 0.149438 0.722772
0.899999 0.149438 0.719783
0.909999 0.149438 0.716794
0.919999 0.149438 0.713806
0.929999 0.149438 0.710817
0.939999 0.149438 0.707828
0.949999 0.149438 0.704839
0.959999 0.149438 0.701851
0.969999 0.149438 0.698862
0.979999 0.149438 0.695873
0.989999 0.149438 0.692884

0 0.198669 0.980067
0.01 0.198669 0.976093
0.02 0.198669 0.97212
0.03 0.198669 0.968147
0.04 0.198669 0.964173
0.05 0.198669 0.9602
0.06 0.198669 0.956226
0.07 0.198669 0.952253
0.08 0.198669 0.94828
0.09 0.198669 0.944306
0.1 0.198669 0.940333
0.11 0.198669 0.93636
0.12 0.198669 0.932386
0.13 0.198669 0.928413
0.14 0.198669 0.924439
0.15 0.198669 0.920466
0.16 0.198669 0.916493
0.17 0.198669 0.912519
0.18 0.198669 0.908546
0.19 0.198669 0.904573
0.2 0.198669 0.900599
0.21 0.198669 0.896626
0.22 0.198669 0.892653
0.23 0.198669 0.888679
0.24 0.198669 0.884706
0.25 0.198669 0.880732
0.26 0.198669 0.876759
0.27 0.198669 0.872786
0.28 0.198669 0.868812
0.29 0.198669 0.864839
0.3 0.198669 0.860866
0.31 0.198669 0.856892
0.32 0.198669 0.852919
0.33 0.198669 0.848946
0.34 0.198669 0.844972
0.35 0.198669 0.840999
0.36 0.198669 0.837025
0.37 0.198669 0.833052
0.38 0.198669 0.829079
0.39 0.198669 0.825105
0.4 0.198669 0.821132
0.41 0.198669 0.817159
0.42 0.198669 0.813185
0.43 0.198669 0.809212
0.44 0.198669 0.805239
0.45 0.198669 0.801265
0.46 0.198669 0.797292
0.47 0.198669 0.793318
0.48 0.198669 0.789345
0.49 0.198669 0.785372
0.5 0.198669 0.781398
0.51 0.198669 0.777425
0.52 0.198669 0.773452
0.53 0.198669 0.769478
0.54 0.198669 0.765505
0.55 0.198669 0.761532
0.56 0.198669 0.757558
0.57 0.198669 0.753585
0.58 0.198669 0.749611
0.59 0.198669 0.745638
0.6 0.198669 0.741665
0.61 0.198669 0.737691
0.62 0.198669 0.733718
0.63 0.198669 0.729745
0.64 0.198669 0.725771
0.65 0.198669 0.721798
0.66 0.198669 0.717825
0.67 0.198669 0.713851
0.68 0.198669 0.709878
0.69 0.198669 0.705904
0.7 0.198669 0.701931
0.71 0.198669 0.697958
0.72 0.198669 0.693984
0.73 0.198669 0.690011
0.74 0.198669 0.686038
0.75 0.198669 0.682064
0.76 0.198669 0.678091
0.77 0.198669 0.674118
0.78 0.198669 0.670144
0.79 0.198669 0.666171
0.8 0.198669 0.662197
0.81 0.198669 0.658224
0.82 0.198669 0.654251
0.83 0.198669 0.650277
0.839999 0.198669 0.646304
0.849999 0.198669 0.642331
0.859999 0.198669 0.638357
0.869999 0.198669 0.634384
0.879999 0.198669 0.63041
0.889999 0.198669 0.626437
0.899999 0.198669 0.622464
0.909999 0.198669 0.61849
0.919999 0.198669 0.614517
0.929999 0.198669 0.610544
0.939999 0.198669 0.60657
0.949999 0.198669 0.602597
0.959999 0.198669 0.598624
0.969999 0.198669 0.59465
0.979999 0.198669 0.590677
0.989999 0.198669 0.586703

0 0.247404 0.968912
0.01 0.247404 0.963964
0.02 0.247404 0.959016
0.03 0.247404 0.954068
0.04 0.247404 0.94912
0.05 0.247404 0.944172
0.06 0.247404 0.939224
0.07 0.247404 0.934276
0.08 0.247404 0.929328
0.09 0.247404 0.92438
0.1 0.247404 0.919432
0.11 0.247404 0.914484
0.12 0.247404 0.909535
0.13 0.247404 0.904587
0.14 0.247404 0.899639
0.15 0.247404 0.894691
0.16 0.247404 0.889743
0.17 0.247404 0.884795
0.18 0.247404 0.879847
0.19 0.247404 0.874899
0.2 0.247404 0.869951
0.21 0.247404 0.865003
0.22 0.247404 0.860055
0.23 0.247404 0.855107
0.24 0.247404 0.850159
0.25 0.247404 0.84521
0.26 0.247404 0.840262
0.27 0.247404 0.835314
0.28 0.247404 0.830366
0.29 0.247404 0.825418
0.3 0.247404 0.82047
0.31 0.247404 0.815522
0.32 0.247404 0.810574
0.33 0.247404 0.805626
0.34 0.247404 0.800678
0.35 0.247404 0.79573
0.36 0.247404 0.790782
0.37 0.247404 0.785833
0.38 0.247404 0.780885
0.39 0.247404 0.775937
0.4 0.247404 0.770989
0.41 0.247404 0.766041
0.42 0.247404 0.761093
0.43 0.247404 0.756145
0.44 0.247404 0.751197
0.45 0.247404 0.746249
0.46 0.247404 0.741301
0.47 0.247404 0.736353
0.48 0.247404 0.731405
0.49 0.247404 0.726457
0.5 0.247404 0.721508
0.51 0.247404 0.71656
0.52 0.247404 0.711612
0.53 0.247404 0.706664
0.54 0.247404 0.701716
0.55 0.247404 0.696768
0.56 0.247404 0.69182
0.57 0.247404 0.686872
0.58 0.247404 0.681924
0.59 0.247404 0.676976
0.6 0.247404 0.672028
0.61 0.247404 0.66708
0.62 0.247404 0.662131
0.63 0.247404 0.657183
0.64 0.247404 0.652235
0.65 0.247404 0.647287
0.66 0.247404 0.642339
0.67 0.247404 0.637391
0.68 0.247404 0.632443
0.69 0.247404 0.627495
0.7 0.247404 0.622547
0.71 0.247404 0.617599
0.72 0.247404 0.612651
0.73 0.247404 0.607703
0.74 0.247404 0.602755
0.75 0.247404 0.597806
0.76 0.247404 0.592858
0.77 0.247404 0.58791
0.78 0.247404 0.582962
0.79 0.247404 0.578014
0.8 0.247404 0.573066
0.81 0.247404 0.568118
0.82 0.247404 0.56317
0.83 0.247404 0.558222
0.839999 0.247404 0.553274
0.849999 0.247404 0.548326
0.859999 0.247404 0.543378
0.869999 0.247404 0.538429
0.879999 0.247404 0.533481
0.889999 0.247404 0.528533
0.899999 0.247404 0.523585
0.909999 0.247404 0.518637
0.919999 0.247404 0.513689
0.929999 0.247404 0.508741
0.939999 0.247404 0.503793
0.949999 0.247404 0.498845
0.959999 0.247404 0.493897
0.969999 0.247404 0.488949
0.979999 0.247404 0.484001
0.989999 0.247404 0.479053

0 0.29552 0.955337
0.01 0.29552 0.949426
0.02 0.29552 0.943516
0.03 0.29552 0.937605
